statename,scode,1960,1961 [YR1961],1961 [YR1961],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
United Kingdom,GBR,13827.45,14075.86,14142.26,14592.14,15227.99,15552.46,15783.92,16061.95,16620.87,16891.62,17843.46,18388.22,19114.35,20319.13,19806.09,19514.36,20087.04,20584.51,21448.37,22230.94,21754.08,21578.82,22020.52,22942.37,23427.50,24355.08,25061.85,26334.25,27788.87,28428.59,28553.29,28155.45,28183.60,28826.42,29873.05,30525.66,31219.94,32476.51,33463.99,34424.51,35486.32,36354.16,37105.50,38166.49,38840.94,39789.80,40504.84,41213.72,40749.21,38724.73,39079.84,39413.32,39706.61,40248.77,41124.14,41756.92,42201.64,42669.58,42986.03
United States,USA,17550.57,17659.06,18450.30,18986.89,19811.02,20817.04,21915.58,22220.20,23055.42,23538.97,23207.22,23670.35,24649.84,25794.13,25421.37,25120.23,26223.38,27161.43,28362.77,28939.64,28589.67,29028.90,28235.09,29260.59,31107.56,32118.76,32925.23,33761.18,34853.49,35793.90,36059.30,35542.14,36287.32,36797.80,37813.76,38369.16,39356.09,40614.41,41942.71,43434.69,44726.97,44728.60,45087.37,45980.51,47287.59,48499.81,49405.77,49856.28,49319.48,47648.81,48466.82,48862.42,49596.42,50161.08,51015.14,52099.27,52534.37,53356.24,54541.72
Uruguay,URY,5474.64,5539.04,5384.40,5329.63,5397.71,5395.15,5502.53,5248.85,5300.45,5570.58,5670.63,5639.32,5558.63,5572.64,5729.97,6066.26,6280.15,6336.79,6633.75,6996.42,7355.21,7420.98,6653.24,5931.14,5825.72,5873.33,6350.42,6815.44,6873.27,6904.39,6878.15,7071.39,7577.09,7721.46,8223.12,8045.95,8434.32,9091.47,9441.99,9211.43,9001.75,8640.78,7971.31,8041.24,8449.21,9078.64,9440.51,10038.90,10732.01,11155.85,11992.02,12574.90,12981.14,13541.21,13934.58,13938.79,14124.14,14437.38,14617.46
Uzbekistan,UZB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,948.61,1010.41,1016.84,1003.30,977.30,847.73,809.63,752.61,732.48,730.82,754.46,774.34,798.98,818.22,841.56,864.36,890.52,945.88,999.92,1061.40,1145.52,1229.06,1305.79,1377.08,1451.63,1547.42,1645.72,1734.36,1831.32,1909.44,1961.33,2026.54
Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2400.68,2070.93,2104.30,2274.70,2530.70,2711.30,2676.16,2612.11,2479.03,2380.01,2357.63,2565.72,2573.52,2564.45,2509.72,2663.88,2626.36,2631.74,2710.55,2778.44,2737.33,2841.33,2680.66,2481.98,2522.99,2557.10,2626.37,2781.09,2856.97,2970.39,2994.92,2966.86,2923.42,2893.10,2868.04,2854.22,2755.73,2791.84,2844.12,2863.23
"Venezuela, RB",VEN,12457.21,12401.87,12992.83,13037.60,13999.21,14095.76,13837.07,13766.11,14303.23,13953.15,14570.10,14345.62,14107.19,14678.24,14557.39,14555.90,15238.59,15739.38,15659.81,15345.22,14269.39,13839.09,13197.39,12371.83,12227.83,11938.23,12391.71,12511.19,12909.48,11515.18,11968.85,12830.40,13302.59,13047.76,12469.67,12692.60,12410.26,12939.58,12726.41,11739.11,11944.21,12122.12,10848.82,9830.74,11429.41,12400.77,13413.01,14374.37,14920.45,14239.04,13825.36,14179.19,14735.09,14721.86,14025.36,..,..,..,..
Vietnam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,377.51,382.97,384.82,389.80,400.89,421.17,433.28,449.54,478.44,506.93,541.61,583.31,628.08,669.91,699.62,724.48,765.19,804.20,846.73,896.70,955.45,1018.12,1079.06,1145.14,1198.42,1250.80,1317.89,1385.89,1443.49,1505.81,1579.19,1667.17,1752.53,1852.96,1964.48
Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36687.05,36565.83,37654.27,39026.65,40472.66,42118.36,42491.45,39667.19,40043.19,36798.70,31301.00,29516.00,29303.72,29408.06,29729.22,29290.78,..
West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1895.37,1941.38,1878.93,2060.17,2296.05,2423.45,2160.18,1909.63,1628.97,1810.43,1947.28,2103.13,1970.11,2046.97,2112.48,2235.05,2354.13,2580.37,2675.68,2670.13,2603.52,2631.81,2694.52,2724.41,2680.32
"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1001.41,1013.20,1041.17,1028.84,1047.04,1060.72,1070.00,1090.28,1122.42,1132.39,1168.69,1178.66,1190.15,1199.55,1211.77,1243.43,1246.87,1252.48,1262.02,1274.47,1334.78,1133.13,1128.69,1151.42,1119.15,908.76,765.60,702.86,667.95
Zambia,ZMB,1495.71,1471.25,1392.22,1395.22,1519.02,1718.68,1573.80,1646.60,1615.68,1558.18,1580.83,1528.21,1614.03,1545.43,1589.99,1502.18,1542.72,1423.65,1384.23,1297.78,1292.46,1326.06,1245.46,1180.27,1137.74,1119.12,1091.92,1086.79,1120.77,1077.82,1043.72,1016.80,975.00,1016.60,906.58,909.58,941.00,950.64,921.17,937.95,948.74,973.36,991.31,1033.31,1077.84,1126.03,1183.36,1248.42,1309.28,1390.33,1489.46,1525.56,1591.32,1620.15,1644.11,1641.01,1652.28,1658.82,1672.35
Zimbabwe,ZWE,994.70,1022.77,1002.98,1030.03,984.67,998.75,980.59,1027.85,1013.73,1101.94,1305.15,1372.82,1435.56,1421.88,1464.42,1388.49,1350.18,1218.16,1148.10,1147.79,1269.25,1378.55,1364.61,1336.45,1263.88,1303.65,1284.33,1254.52,1305.16,1331.82,1386.85,1429.51,1274.44,1265.52,1361.65,1345.99,1468.65,1493.52,1524.34,1502.20,1449.04,1464.67,1331.01,1102.23,1034.96,971.27,931.57,890.18,725.58,803.22,948.33,1066.43,1223.20,1225.56,1232.86,1234.10,1224.31,1263.32,1322.34
Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4070.44,4570.39,4790.71,4606.14,4972.59,5255.36,5240.47,4619.05,4173.41,4104.84,3893.26,3958.97,3827.94,3930.22,3913.46,4269.50,4219.27,4349.45,4373.38,4399.39,4383.56,4480.67,4568.74,4707.09,4690.79,4843.58,4817.85,4743.59,4888.94,5228.56,5402.79,5620.17,5737.63,5926.09,5810.11,5945.68,6021.16,6278.73,6336.58,6354.89,6430.46,6507.88,6447.29,6458.73
Caribbean small states,CSS,..,..,..,..,..,..,4531.67,4665.28,4883.40,5089.07,5263.23,5310.99,5656.94,5546.45,5295.61,5163.31,5162.11,5307.18,5557.69,5780.67,5850.77,5839.54,5844.19,5637.54,5627.54,5569.20,5597.92,5666.08,5759.55,5969.64,5985.70,6016.87,6082.17,6205.44,6323.73,6449.53,6614.02,6765.37,6919.29,7153.17,7375.09,7472.37,7691.97,8078.26,8341.32,8592.85,9116.74,9348.91,9402.01,9006.59,9075.71,9112.92,9167.92,9213.78,9179.63,9224.15,8976.37,8946.69,9038.95
Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7178.54,6498.31,6393.02,6501.05,6773.78,7151.26,7478.06,7721.64,7950.77,8120.43,8496.47,8815.35,9185.76,9587.74,10173.24,10710.23,11442.45,12224.97,12746.19,12330.09,12567.40,13001.24,13127.92,13331.96,13767.27,14327.58,14815.43,15553.41,16259.85
Early-demographic dividend,EAR,1138.12,1160.43,1181.38,1215.12,1284.66,1321.54,1342.10,1381.20,1444.03,1497.54,1587.52,1641.20,1713.23,1798.24,1867.80,1863.86,1955.90,1981.19,1953.37,1970.93,1958.24,1980.39,1932.74,1886.88,1877.60,1849.53,1859.76,1869.45,1893.55,1885.05,1949.80,2002.06,2041.71,2065.86,2084.63,2100.63,2173.54,2232.86,2233.87,2227.27,2285.35,2267.80,2264.73,2333.90,2449.93,2557.94,2672.21,2784.53,2835.95,2810.34,2938.88,3039.46,3122.61,3210.94,3293.52,3400.05,3515.39,3632.19,3732.29
East Asia & Pacific,EAS,1282.91,1353.72,1418.74,1493.61,1614.44,1680.97,1785.13,1891.34,2038.45,2215.90,2227.24,2282.15,2394.62,2523.15,2483.99,2520.43,2583.01,2671.77,2778.84,2896.16,2956.23,3045.29,3113.82,3189.86,3323.54,3453.99,3554.70,3702.69,3913.93,4050.08,4193.37,4318.23,4407.92,4490.67,4627.08,4805.83,4991.98,5107.02,5047.50,5147.47,5349.04,5443.21,5592.23,5784.52,6037.13,6295.07,6595.39,6972.19,7166.91,7216.08,7673.74,7974.42,8291.45,8626.59,8921.42,9227.67,9535.35,9904.96,10259.50
East Asia & Pacific (excluding high income),EAP,288.86,256.49,252.77,260.66,279.53,299.65,313.54,302.59,302.57,326.07,357.70,371.73,381.10,403.20,411.46,429.62,436.50,462.88,496.16,523.28,554.65,577.85,602.35,635.83,684.92,722.62,759.81,812.26,874.35,910.89,944.89,1004.59,1097.27,1200.71,1311.41,1421.02,1529.32,1617.47,1627.19,1708.53,1818.73,1922.75,2055.63,2216.33,2394.96,2606.80,2865.53,3190.39,3434.36,3672.16,4002.60,4310.69,4601.02,4896.66,5189.73,5487.99,5795.08,6125.30,6470.43
East Asia & Pacific (IDA & IBRD countries),TEA,292.01,259.36,255.61,263.56,282.62,302.95,316.98,305.92,305.91,329.67,361.65,375.84,385.32,407.67,416.03,434.39,441.35,468.02,501.64,529.05,560.75,584.20,608.96,642.80,692.42,730.53,768.11,821.09,883.83,920.74,955.09,1015.44,1109.14,1213.74,1325.68,1436.48,1545.95,1635.01,1644.79,1726.97,1838.33,1943.45,2077.77,2240.22,2420.79,2634.92,2896.43,3224.74,3471.26,3711.53,4045.41,4356.70,4650.04,4948.72,5244.77,5546.06,5856.25,6189.78,6538.40
Euro area,EMU,10826.52,11445.33,12064.47,12641.19,13213.36,13745.02,14348.82,14996.44,15722.11,16702.85,17519.93,18085.68,18847.73,19885.18,20408.61,20150.75,21069.48,21632.18,22219.24,22978.81,23373.55,23403.94,23507.45,23784.32,24306.70,24821.01,25380.02,25953.81,26983.26,27970.56,28840.03,29459.00,29730.81,29416.75,30059.84,30725.76,31173.25,31946.13,32831.20,33725.86,34915.32,35537.27,35728.02,35788.05,36422.06,36852.35,37869.77,38832.83,38826.15,36957.14,37635.97,38312.37,37900.10,37677.94,38071.50,38748.67,39358.22,40254.25,40949.01
Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,11534.85,11875.34,12333.01,12955.32,13153.96,12959.48,13450.27,13739.40,14070.10,14491.14,14616.40,14594.03,14644.96,14841.12,15147.34,15474.12,15806.41,16188.02,16763.25,17258.00,17566.90,17562.23,17383.52,17178.50,17325.03,17666.22,17948.88,18461.28,18902.20,19427.59,20236.83,20664.85,20989.54,21320.82,21951.06,22491.73,23311.02,24096.57,24251.43,23073.78,23572.58,24062.11,24040.00,24139.56,24470.08,24847.62,25201.97,25772.33,26221.25
Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6452.82,6318.68,5957.99,5314.23,5006.38,4475.84,4413.84,4408.28,4522.94,4444.66,4536.41,4898.71,5029.64,5309.76,5660.13,6129.71,6564.09,7094.12,7625.94,7940.98,7435.43,7773.17,8197.00,8452.84,8739.52,8879.66,8896.45,8996.43,9305.89,9515.68
Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6465.64,6333.21,5964.28,5387.68,5123.59,4664.49,4646.57,4682.35,4831.58,4792.95,4906.70,5274.94,5408.53,5683.07,6033.52,6503.27,6929.80,7468.45,8020.72,8349.06,7908.36,8249.42,8684.05,8928.47,9201.36,9364.82,9427.01,9557.76,9901.05,10160.54
European Union,EUU,10071.40,10544.87,10978.63,11441.79,11973.91,12396.83,12830.63,13304.57,13883.88,14592.78,15318.84,15793.28,16434.03,17335.66,17625.31,17398.32,18113.89,18544.98,19066.12,19717.90,19924.90,19914.74,20054.42,20374.38,20828.35,21321.96,21830.86,22408.35,23322.60,24110.88,24747.28,25019.74,25207.72,25092.36,25742.34,26379.09,26854.96,27599.14,28390.68,29192.41,30269.08,30900.97,31244.96,31529.64,32216.67,32770.81,33747.03,34666.63,34720.79,33112.90,33729.24,34326.40,34116.61,34102.92,34600.31,35303.72,35905.09,36733.49,37397.89
Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1085.73,1042.10,1156.73,920.24,947.99,979.50,981.71,990.17,1035.50,1088.03,1186.73,1238.92,1231.77,1235.38,1196.93,1111.09,1235.34,1285.25,1339.29,1379.30,1420.87,1451.67,1510.92,1395.72,1530.98,1553.57,1534.99,1534.10,1578.85,1590.98,1593.29
Heavily indebted poor countries (HIPC),HPC,626.74,612.47,640.23,643.77,648.47,658.12,657.66,652.96,663.65,675.86,688.10,698.57,691.97,694.40,714.76,711.57,721.51,728.97,726.18,709.97,692.23,699.16,689.26,676.48,667.98,661.61,664.39,667.61,656.17,651.53,629.50,615.35,593.00,578.53,561.78,572.77,586.38,594.73,599.39,601.16,600.83,609.24,613.00,622.53,638.59,658.58,679.97,704.76,727.15,737.56,759.41,771.87,793.41,815.95,837.55,854.56,869.63,889.62,901.04
High income,HIC,11918.09,12307.48,12867.05,13379.47,14071.22,14679.30,15404.38,15945.87,16766.25,17541.80,17855.84,18366.89,19199.21,20231.37,20268.65,20057.73,20887.70,21519.45,22221.30,22943.57,23095.43,23361.33,23167.54,23624.28,24533.20,25242.70,25878.05,26598.95,27686.43,28552.77,29221.68,29416.39,29840.75,29965.83,30696.31,31308.57,32016.17,32878.29,33557.91,34445.95,35617.34,35916.10,36226.09,36755.21,37705.06,38491.63,39373.63,40099.25,39919.82,38305.95,39169.92,39698.29,39973.73,40308.31,40880.64,41584.60,42041.16,42775.56,43504.77
IBRD only,IBD,1094.88,1110.59,1132.04,1158.62,1221.68,1261.01,1293.22,1321.95,1380.86,1449.01,1521.35,1580.56,1650.32,1736.11,1799.05,1839.61,1926.47,1971.08,1996.97,2042.92,2087.62,2089.57,2104.35,2089.61,2144.16,2196.44,2248.29,2312.60,2355.30,2380.46,2387.92,2373.12,2358.11,2393.04,2421.08,2476.65,2562.73,2656.39,2675.41,2725.94,2845.63,2905.46,2991.71,3117.18,3321.52,3513.38,3753.16,4030.85,4212.24,4254.58,4520.90,4744.87,4934.45,5128.62,5295.99,5447.11,5626.45,5845.71,6062.93
IDA & IBRD total,IBT,1022.55,1033.28,1054.14,1079.13,1133.57,1168.30,1192.11,1207.45,1256.67,1320.80,1391.45,1445.76,1501.28,1573.88,1632.62,1659.31,1734.17,1772.15,1788.20,1825.81,1861.37,1854.73,1860.26,1840.23,1880.78,1923.05,1963.24,2013.98,2048.59,2066.32,2071.44,2054.91,2038.51,2060.44,2076.81,2118.75,2186.87,2258.65,2270.98,2307.77,2400.13,2445.79,2514.18,2611.83,2773.59,2924.59,3111.86,3327.97,3466.64,3497.86,3702.82,3870.92,4012.72,4160.70,4287.14,4396.54,4523.17,4682.04,4838.08
IDA blend,IDB,830.78,821.72,836.51,880.46,902.66,929.04,899.15,799.16,793.96,901.77,1042.54,1127.13,1141.70,1174.33,1244.32,1181.49,1221.98,1248.41,1199.44,1233.89,1261.06,1164.02,1114.80,1044.70,1030.11,1060.79,1057.67,1063.97,1097.20,1097.64,1137.90,1126.66,1131.23,1097.62,1078.03,1071.02,1091.11,1086.17,1086.71,1080.95,1094.78,1112.13,1171.72,1201.99,1265.53,1315.81,1362.14,1408.86,1436.15,1482.33,1537.55,1576.01,1609.87,1664.78,1720.89,1746.99,1733.81,1741.19,1762.71
IDA only,IDX,568.83,560.73,584.48,585.14,595.91,602.44,599.17,590.87,604.78,611.52,624.25,622.29,598.58,599.75,622.17,609.66,624.54,629.90,627.51,616.61,602.64,607.47,596.77,586.85,581.54,577.21,581.72,585.99,583.13,581.49,571.96,563.77,550.73,544.90,532.55,544.54,557.84,568.40,576.55,585.46,594.14,609.12,617.66,634.55,655.98,683.21,712.11,745.32,774.60,793.05,823.48,838.34,859.61,892.33,921.85,942.11,964.45,997.53,1024.72
IDA total,IDA,639.35,631.26,650.36,667.46,682.01,695.73,682.44,639.65,645.62,690.14,750.63,781.65,774.00,787.57,827.62,797.42,822.22,836.37,817.22,825.34,828.96,795.27,771.09,739.44,731.34,740.90,742.89,748.19,759.53,758.94,768.44,759.21,752.70,736.63,721.66,726.46,741.97,746.76,752.09,755.53,765.88,781.34,807.96,829.19,865.17,900.14,934.82,972.45,1000.75,1028.97,1068.20,1091.64,1117.44,1158.00,1196.94,1219.29,1228.92,1252.53,1277.40
Late-demographic dividend,LTE,943.65,937.22,954.41,967.28,1008.56,1047.60,1089.40,1092.93,1140.60,1224.22,1314.68,1394.16,1476.72,1586.93,1656.86,1706.03,1798.37,1885.29,1957.47,2073.64,2215.90,2182.36,2186.15,2166.16,2289.30,2420.47,2526.50,2634.67,2710.98,2789.61,2756.96,2733.43,2684.88,2744.22,2806.52,2913.92,3010.50,3131.21,3167.43,3270.54,3465.83,3602.84,3776.71,3987.94,4275.06,4552.28,4919.36,5359.21,5672.90,5786.29,6190.08,6565.68,6877.80,7192.60,7477.19,7719.36,7960.79,8283.85,8637.84
Latin America & Caribbean,LCN,3678.96,3814.05,3888.93,3882.02,4058.21,4157.09,4215.92,4289.25,4512.60,4676.01,4862.59,5060.94,5293.80,5613.78,5832.25,5910.63,6132.65,6284.87,6385.87,6658.29,6907.34,6783.00,6607.84,6304.39,6408.03,6505.93,6662.37,6751.77,6691.03,6654.95,6555.44,6661.17,6709.49,6841.05,7033.98,7022.94,7152.44,7400.56,7448.68,7347.15,7515.64,7476.13,7396.52,7413.29,7782.65,8012.14,8331.43,8686.46,8921.59,8653.85,9058.33,9350.55,9505.64,9662.88,9657.53,9567.19,9438.53,9502.24,9550.78
Latin America & Caribbean (excluding high income),LAC,3624.17,3757.12,3830.98,3811.94,3993.31,4093.36,4134.11,4206.38,4435.61,4593.69,4784.86,4977.99,5225.23,5570.06,5800.61,5908.75,6132.70,6274.00,6357.53,6619.58,6860.48,6719.49,6565.19,6269.63,6369.75,6466.69,6617.69,6696.39,6620.26,6562.52,6460.60,6557.28,6579.61,6701.30,6887.82,6854.45,6971.18,7203.49,7232.91,7121.84,7282.57,7227.64,7140.90,7147.22,7495.75,7719.76,8032.62,8386.67,8621.90,8357.87,8760.30,9042.39,9182.46,9329.89,9320.01,9217.65,9081.33,9149.16,9190.80
Latin America & the Caribbean (IDA & IBRD countries),TLA,3708.32,3842.42,3913.84,3900.86,4076.71,4170.90,4224.83,4294.09,4518.00,4676.33,4861.39,5057.91,5292.53,5617.60,5846.08,5925.96,6146.58,6291.02,6381.39,6650.71,6907.93,6763.86,6576.82,6261.30,6352.10,6449.11,6606.25,6695.59,6622.70,6579.86,6488.14,6608.32,6665.16,6807.12,6999.77,6980.56,7106.03,7352.65,7393.91,7276.24,7439.59,7386.62,7303.25,7319.22,7678.99,7909.82,8229.56,8589.12,8830.54,8560.33,8974.01,9271.97,9428.53,9587.85,9583.32,9486.80,9356.41,9423.36,9477.44
Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,540.46,541.01,535.07,532.32,531.41,527.21,531.10,537.85,537.23,535.13,523.05,517.61,504.80,485.97,476.61,492.13,508.58,519.80,527.10,535.18,543.95,558.52,573.54,589.38,614.65,649.59,683.74,724.00,758.00,774.76,804.02,815.15,834.97,862.38,888.25,902.69,914.16,936.21,953.25
Low & middle income,LMY,986.16,995.54,1015.93,1039.95,1093.70,1128.27,1149.73,1164.78,1212.95,1275.53,1345.18,1397.37,1452.81,1525.73,1582.99,1612.57,1685.81,1722.14,1736.48,1771.41,1803.15,1797.17,1807.20,1790.82,1831.37,1872.35,1910.32,1958.26,1991.78,2007.14,2010.09,1995.15,1974.35,1992.67,2005.90,2043.59,2107.91,2174.82,2183.97,2220.05,2309.62,2354.95,2422.45,2517.78,2675.66,2824.43,3007.25,3218.37,3354.08,3386.37,3588.57,3752.34,3892.86,4039.93,4164.63,4271.76,4396.86,4552.82,4704.66
Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,560.50,550.40,537.97,522.93,490.74,473.10,460.56,466.87,476.79,480.36,483.03,486.26,485.91,495.93,500.21,508.69,525.59,545.14,560.04,579.71,597.99,612.66,638.23,643.90,648.85,671.95,693.90,696.30,699.81,715.99,732.28
Lower middle income,LMC,568.90,576.65,583.05,598.30,620.65,616.70,608.67,605.50,619.06,651.64,689.92,708.04,707.61,725.06,745.79,758.85,783.45,814.50,826.66,820.85,847.46,850.53,848.16,851.46,858.40,868.40,884.13,898.53,931.89,956.25,970.61,963.36,970.62,965.89,973.28,1000.82,1040.54,1060.19,1046.62,1074.44,1100.92,1130.17,1162.77,1212.99,1276.35,1338.35,1408.31,1483.36,1527.37,1577.89,1659.71,1715.80,1777.41,1849.65,1925.60,2003.73,2085.22,2170.40,2259.34
Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,3429.39,3722.10,4303.72,4701.70,5319.58,5790.35,6191.98,5875.20,6577.05,6598.20,6100.08,6188.66,5936.09,5829.98,5530.08,5208.89,4980.82,4792.74,4688.38,4554.95,4556.66,4553.59,4973.39,5047.51,5194.90,5216.30,5235.33,5245.47,5382.51,5455.35,5594.99,5585.43,5796.97,5758.47,5742.15,5943.27,6296.56,6483.05,6733.32,6932.23,7088.63,6973.39,7172.83,7286.26,7417.76,7468.51,7540.38,7586.42,7809.72,7797.31,7845.81
Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,1960.78,2049.22,2185.28,2381.20,2614.11,2788.27,2967.47,3292.61,3435.19,3570.65,3496.04,3929.09,3782.08,3445.60,3243.35,2774.70,2666.13,2992.60,3035.74,2891.85,2896.36,2728.57,2698.06,2601.43,2598.79,2833.56,2723.81,2783.26,2795.12,2773.15,2784.40,2894.83,2932.21,3074.69,3148.50,3230.42,3244.64,3294.67,3327.98,3532.70,3629.40,3762.59,3922.99,3990.45,4020.67,4157.88,4045.84,4084.70,4078.20,4089.77,4058.13,4288.36,4345.27,..
Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,1948.24,2036.11,2171.31,2365.98,2597.40,2770.44,2948.49,3271.56,3413.22,3547.81,3473.69,3903.97,3757.90,3423.56,3222.61,2756.96,2649.08,2973.47,3016.33,2873.36,2877.84,2711.12,2680.81,2584.79,2582.17,2840.27,2730.73,2790.85,2803.31,2781.86,2792.88,2905.38,2941.31,3082.71,3155.92,3241.70,3258.94,3312.79,3344.56,3550.15,3646.28,3782.67,3944.17,4011.83,4041.13,4178.69,4062.71,4100.98,4094.56,4107.18,4074.89,4307.24,4364.53,..
Middle income,MIC,1025.75,1037.70,1057.56,1083.03,1140.88,1177.79,1200.20,1216.72,1268.01,1334.03,1408.61,1463.99,1523.80,1601.80,1662.89,1695.81,1775.10,1814.49,1830.96,1868.84,1903.54,1897.96,1909.85,1893.04,1937.35,1982.19,2023.44,2075.84,2112.40,2130.72,2135.82,2122.11,2103.31,2126.07,2143.09,2185.45,2256.48,2330.82,2342.60,2383.83,2483.83,2535.29,2611.65,2718.48,2893.63,3059.12,3262.96,3498.27,3651.18,3690.35,3916.59,4102.35,4262.69,4429.01,4571.08,4696.04,4841.61,5021.18,5197.10
North America,NAC,17594.02,17697.41,18506.16,19052.94,19886.12,20883.51,21975.75,22279.55,23107.54,23626.21,23359.45,23803.27,24791.82,25965.11,25678.20,25407.50,26527.45,27438.79,28600.37,29201.33,28913.12,29378.95,28524.95,29498.70,31316.73,32351.37,33117.72,33965.18,35058.78,35925.15,36114.91,35528.73,36189.47,36703.49,37737.73,38298.48,39208.74,40464.62,41779.58,43295.88,44635.59,44667.53,45072.82,45917.54,47190.88,48385.27,49277.20,49734.98,49247.31,47547.63,48373.70,48830.09,49521.90,50090.48,50949.97,51922.71,52312.02,53139.60,54226.63
Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,OED,11497.30,11859.64,12386.85,12879.75,13547.29,14118.07,14809.02,15311.93,16090.38,16802.42,17033.71,17476.43,18226.10,19145.56,19145.60,18984.78,19706.18,20248.77,20931.90,21562.92,21668.66,21935.95,21822.60,22264.11,23114.69,23801.03,24333.78,25004.76,25963.20,26742.92,27335.91,27455.08,27763.44,27859.51,28488.39,29028.76,29694.89,30497.69,31138.65,31927.23,32980.25,33203.55,33479.04,33900.59,34733.51,35444.51,36249.86,36906.88,36719.73,35197.13,35981.45,36445.39,36684.83,36991.33,37504.42,38166.33,38578.27,39286.45,39929.78
Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8106.36,8315.30,8548.99,8769.04,9421.72,9785.22,10609.74,11364.44,11891.64,11796.79,12462.89,13116.44,13307.19,13428.42,13542.67,13639.91,13685.63,13701.66,13717.71
Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2540.64,2415.61,2344.84,2452.95,2351.02,2458.57,2332.33,2323.37,2406.78,2472.37,2435.61,2519.78,2548.37,2626.79,2684.13,2723.47,2653.42,2673.35,2770.05,2720.94,2721.99,2744.34,2770.51,2846.35,2877.22,2912.04,2911.21,2929.37,2852.14,2897.48,2979.66,2996.12,3041.64,3122.17,3195.06,3257.00,3341.40,3411.06
Post-demographic dividend,PST,11720.48,12107.67,12666.16,13176.75,13869.53,14478.17,15201.87,15743.09,16559.89,17334.63,17590.00,18071.36,18872.34,19874.48,19882.24,19725.22,20520.94,21137.29,21883.12,22572.25,22699.35,22989.78,22933.57,23500.96,24467.37,25254.20,25906.08,26668.68,27774.66,28665.93,29293.09,29452.22,29777.22,29867.39,30574.11,31226.68,31940.52,32812.93,33519.72,34470.04,35648.79,36022.86,36391.71,36919.77,37868.80,38689.34,39601.34,40368.17,40217.68,38614.13,39509.80,40017.65,40301.29,40659.86,41237.96,41918.65,42409.05,43211.94,43971.43
